Date,Open,High,Low,Close,Volume
2018-08-01,3530.03,3543.61,3446.78,3447.39,9034861700
2018-08-02,3434.35,3434.35,3322.1,3370.96,10130872700
2018-08-03,3366.66,3381.34,3315.2,3315.28,7079691000
2018-08-06,3312.82,3344.25,3257.69,3273.27,7797508300
2018-08-07,3284.98,3368.96,3263.5,3368.87,9178391600
2018-08-08,3362.15,3368.16,3311.77,3314.51,7928486500
2018-08-09,3303.48,3408.39,3299.62,3397.53,9195757200
2018-08-10,3398.41,3424.04,3380.57,3405.02,6896729900
2018-08-13,3369.98,3396.19,3336.7,3390.34,7619153200
2018-08-14,3386.48,3391.73,3356.61,3372.91,6065144600
2018-08-15,3371.96,3372.14,3288.71,3291.98,6817405500
2018-08-16,3251.86,3315.2,3231.56,3276.73,7654736600
2018-08-17,3305.9,3311.57,3224.1,3229.62,6739541300
2018-08-20,3238.22,3267.25,3209.01,3267.25,7090422800
2018-08-21,3271.84,3331.71,3270.03,3326.65,7520558300
2018-08-22,3328.97,3328.97,3299.39,3307.96,5078705700
2018-08-23,3308.46,3336.11,3285.81,3320.03,6111233400
2018-08-24,3308.48,3353.04,3291.86,3325.34,6376589700
2018-08-27,3339.39,3406.57,3339.26,3406.57,9427008200
2018-08-28,3408.15,3416.59,3388.81,3400.17,7544536300
2018-08-29,3393.05,3398.71,3377.12,3386.57,6702040400
2018-08-30,3385.8,3402.56,3349.47,3351.09,6838529000
2018-08-31,3333.38,3356.58,3310.87,3334.5,7620563000
2018-09-03,3320.69,3325.61,3291.78,3321.82,6642985500
2018-09-04,3324.19,3370.96,3307.96,3363.9,6708880700
2018-09-05,3349.7,3354.2,3298.14,3298.14,6430188800
2018-09-06,3286.66,3311.5,3253.76,3262.88,6230028800
2018-09-07,3273.89,3316.62,3253.72,3277.64,6394740800
2018-09-10,3271.38,3277.88,3227.85,3230.07,6381705100
2018-09-11,3229.7,3245.62,3209.11,3224.21,5849130500
2018-09-12,3216.99,3225.6,3194.98,3202.02,5462789900
2018-09-13,3239.68,3249.59,3191.4,3236.57,6729032700
2018-09-14,3242.83,3254.1,3227.94,3242.09,6013064000
2018-09-17,3224.93,3230.79,3200.51,3204.92,5225954700
2018-09-18,3193.64,3270.11,3193.64,3269.43,7042503500
2018-09-19,3262.0,3335.99,3258.31,3312.48,8917066600
2018-09-20,3314.88,3332.31,3303.07,3310.13,6456105700
2018-09-21,3320.7,3410.49,3307.77,3410.49,10841600500
2018-09-25,3375.97,3394.38,3367.02,3379.8,6905469300
2018-09-26,3388.56,3448.26,3383.24,3417.24,9317334300
2018-09-27,3415.95,3423.71,3394.73,3403.59,6976524100
2018-09-28,3409.96,3444.99,3404.7,3438.86,8437775600
2018-10-08,3361.56,3364.46,3285.25,3290.9,9788898900
2018-10-09,3290.17,3309.8,3276.13,3288.69,6672327400
2018-10-10,3295.43,3315.73,3256.58,3281.6,6449282800
2018-10-11,3179.54,3209.52,3099.04,3124.11,12094134200
2018-10-12,3123.37,3184.12,3094.97,3170.73,9861115100
2018-10-15,3173.85,3183.13,3120.23,3126.45,6960502300
2018-10-16,3128.58,3166.09,3089.37,3100.97,6888772100
2018-10-17,3140.68,3149.13,3062.55,3118.25,7683713800
2018-10-18,3097.79,3097.79,3043.38,3044.39,7377196800
2018-10-19,3017.75,3137.75,3009.5,3134.95,9883968800
2018-10-22,3159.56,3297.38,3159.56,3270.27,14586204500
2018-10-23,3273.13,3276.02,3163.57,3183.43,12101324100
2018-10-24,3169.46,3245.4,3164.29,3188.2,11090974400
2018-10-25,3107.84,3197.32,3099.89,3194.31,10695181700
2018-10-26,3204.28,3218.1,3151.92,3173.64,10129935400
2018-10-29,3157.49,3158.81,3062.58,3076.89,9183978900
2018-10-30,3061.93,3146.63,3050.77,3110.26,11607010100
2018-10-31,3116.66,3168.92,3106.03,3153.82,11120745500
2018-11-01,3185.2,3217.8,3173.1,3177.03,13265337900
2018-11-02,3258.61,3290.25,3222.44,3290.25,15346610400
2018-11-05,3269.47,3279.88,3230.36,3262.84,10970668300
2018-11-06,3254.98,3254.98,3213.9,3243.15,8386913800
2018-11-07,3243.88,3270.5,3218.42,3221.91,9161552800
2018-11-08,3251.73,3253.57,3207.71,3212.77,7641454000
2018-11-09,3193.3,3193.3,3166.31,3167.44,8428276200
2018-11-12,3160.25,3206.51,3152.44,3205.14,8806239100
2018-11-13,3164.92,3254.77,3161.1,3237.38,12649346400
2018-11-14,3233.64,3239.24,3200.23,3204.94,11380865900
2018-11-15,3201.28,3242.38,3198.78,3242.37,9855881000
2018-11-16,3242.88,3282.39,3223.72,3257.67,12687683500
2018-11-19,3258.79,3294.6,3251.07,3294.6,11595659500
2018-11-20,3268.08,3278.78,3213.68,3218.41,10936115400
2018-11-21,3187.1,3230.26,3185.24,3226.49,8411972600
2018-11-22,3232.97,3235.45,3199.7,3214.43,6509829100
2018-11-23,3208.59,3212.2,3139.39,3143.48,8463825500
2018-11-26,3148.67,3169.44,3131.64,3141.24,5937914000
2018-11-27,3152.77,3162.01,3126.29,3137.24,5540783200
2018-11-28,3137.75,3179.41,3126.62,3178.93,7488195500
2018-11-29,3198.83,3204.86,3137.65,3137.65,8049846600
2018-11-30,3136.2,3175.15,3132.42,3172.69,7092104400
2018-12-03,3260.69,3273.64,3228.36,3260.95,12148715700
2018-12-04,3256.23,3267.94,3243.7,3267.71,7941503900
2018-12-05,3224.26,3266.9,3219.98,3252.0,7615305200
2018-12-06,3218.11,3223.52,3179.9,3181.67,7632877100
2018-12-07,3187.49,3193.82,3176.71,3181.56,5336192400
2018-12-10,3153.52,3170.15,3134.38,3144.76,6343727300
2018-12-11,3148.23,3161.96,3143.61,3159.82,5322387700
2018-12-12,3181.57,3182.21,3160.28,3170.61,5330991400
2018-12-13,3178.89,3234.08,3169.42,3219.69,9044275500
2018-12-14,3207.35,3210.72,3165.91,3165.91,8430125000
2018-12-17,3158.28,3167.51,3134.36,3161.2,6649700700
2018-12-18,3139.95,3165.0,3114.47,3128.43,6382031900
2018-12-19,3133.74,3137.01,3086.76,3091.13,5552229900
2018-12-20,3083.54,3097.72,3044.29,3067.42,6974946300
2018-12-21,3055.33,3057.4,3007.61,3029.4,7675810100
2018-12-24,3015.5,3040.35,3007.33,3038.2,5729961500
2018-12-25,3006.88,3030.14,2964.88,3017.28,7868942500
2018-12-26,3012.87,3029.06,2996.48,3002.03,5564703200
2018-12-27,3042.95,3047.24,2990.51,2990.51,8054178500
2018-12-28,2994.8,3024.35,2984.82,3010.65,7105377900
2019-01-02,3017.07,3018.78,2958.49,2969.54,6866302100
2019-01-03,2963.02,3000.44,2953.26,2964.84,7086710300
2019-01-04,2940.19,3036.82,2935.83,3035.87,10331897200
2019-01-07,3055.15,3061.75,3035.91,3054.3,10116435900
2019-01-08,3049.88,3055.51,3038.53,3047.7,8617058500
2019-01-09,3065.23,3117.96,3062.85,3078.48,10736435000
2019-01-10,3077.48,3092.54,3062.57,3072.69,8527175600
2019-01-11,3082.26,3102.83,3071.03,3094.78,7178642400
2019-01-14,3092.5,3097.41,3064.38,3067.78,6612170200
2019-01-15,3071.52,3129.37,3064.67,3127.99,8877296200
2019-01-16,3126.14,3135.01,3117.29,3128.65,8021434100
2019-01-17,3132.63,3141.71,3110.06,3111.42,8017487100
2019-01-18,3124.5,3171.69,3120.35,3168.17,10396383400
2019-01-21,3170.88,3199.21,3170.88,3185.64,9391502200
2019-01-22,3181.95,3181.95,3135.34,3143.32,7299052800
2019-01-23,3136.1,3157.63,3131.87,3141.05,5987047800
2019-01-24,3146.6,3165.63,3125.3,3158.78,7293463600
2019-01-25,3165.18,3203.18,3164.41,3184.47,8396772900
2019-01-28,3203.12,3228.87,3174.72,3183.78,8262243100
2019-01-29,3177.26,3200.99,3148.24,3193.97,7765833400
2019-01-30,3181.66,3202.9,3167.89,3168.48,6374651700
2019-01-31,3182.7,3216.07,3178.01,3201.63,8624783900
2019-02-01,3225.73,3247.5,3207.72,3247.4,8201964100
2019-02-11,3239.81,3307.06,3239.81,3306.47,9881843400
2019-02-12,3306.35,3335.36,3298.63,3330.34,12223246200
2019-02-13,3337.78,3405.58,3329.14,3397.03,16382833200
2019-02-14,3392.86,3415.4,3381.98,3402.14,15112729000
